YEAR,MONTH,T-Bill,US Equity,Foreign EQ,Emerging EQ,US Bond,Foreign Bond,HY Bond,Commodity,Real Estate,Hedge Fund
1994,8,0.0037,0.0401,0.0202,0.1204,-0.0025,-0.0086,0.0038,-0.0711,0.0019,0.0209
1994,9,0.0037,-0.0231,-0.035,0.0077,-0.0184,0.0149,-0.0041,-0.0131,-0.024,0.0052
1994,10,0.0038,0.0134,0.0297,-0.0218,-0.0047,0.0238,-0.0013,0.0007,-0.0409,-0.0041
1994,11,0.0037,-0.0404,-0.0515,-0.0557,-0.0059,-0.0249,-0.0122,-0.0364,-0.0362,-0.0164
1994,12,0.0044,0.0086,0.0021,-0.0847,0.0025,-0.0031,0.0064,0.0295,0.0573,-0.0052
1995,1,0.0042,0.018,-0.0424,-0.1106,0.0156,0.0184,0.0102,-0.029,-0.019,-0.0064
1995,2,0.004,0.0363,-0.0066,-0.0296,0.0198,0.0221,0.0272,0.0041,0.0285,0.0091
1995,3,0.0046,0.0219,0.0581,0.0018,0.0015,0.0691,0.0093,0.009,-0.0106,0.0119
1995,4,0.0044,0.0211,0.0335,0.0405,0.0096,0.0135,0.0184,0.0262,-0.0021,0.0166
1995,5,0.0054,0.029,-0.0171,0.0478,0.0333,0.0148,0.0264,-0.0138,0.0396,0.0116
1995,6,0.0047,0.0272,-0.022,-0.0017,0.0026,0.0015,0.0029,-0.0225,0.013,0.0201
1995,7,0.0045,0.0372,0.058,0.0179,-0.0067,0.0097,0.0069,0.0216,0.0111,0.0275
1995,8,0.0047,0.0055,-0.0426,-0.0283,0.0074,-0.0499,0.0014,0.0165,0.0102,0.0173
1995,9,0.0043,0.0335,0.0155,-0.009,0.0054,0.027,0.0069,-0.0001,0.014,0.0153
1995,10,0.0047,-0.0152,-0.0313,-0.043,0.0083,0.0058,0.0027,0.0054,-0.0231,-0.0112
1995,11,0.0042,0.0396,0.0239,-0.022,0.0108,0.0033,0.0056,0.0228,0.0058,0.0147
1995,12,0.0049,0.0103,0.0356,0.0395,0.0091,0.0101,0.0106,0.0974,0.05,0.0159
1996,1,0.0043,0.0226,0,0.0668,0.0023,-0.023,0.012,-0.0059,0.0149,0.0246
1996,2,0.0039,0.0133,-0.0003,-0.0198,-0.0213,-0.001,-0.0024,0.0362,0.0038,0.0084
1996,3,0.0039,0.0073,0.0176,0.0039,-0.0109,-0.0014,-0.0071,0.0611,-0.0053,0.0107
1996,4,0.0046,0.0206,0.0247,0.0354,-0.0102,-0.0078,-0.0036,0.0531,-0.0013,0.035
1996,5,0.0042,0.0236,-0.0224,-0.0087,-0.0062,0.0008,0.003,-0.0121,0.0229,0.0263
1996,6,0.004,-0.0114,0.0019,0.0022,0.0094,0.0055,0.0015,0.0348,0.0098,-0.0022
1996,7,0.0045,-0.0597,-0.0335,-0.0728,-0.0018,0.0229,0.0028,-0.0518,0.0041,-0.0253
1996,8,0.0041,0.0277,-0.0017,0.0215,-0.0058,0.003,0.006,0.0281,0.0366,0.0187
1996,9,0.0044,0.0501,0.0224,0.0043,0.013,-0.0023,0.0173,0.0311,0.013,0.0163
1996,10,0.0042,0.0086,-0.0142,-0.0309,0.018,0.0173,0.0068,-0.0067,0.0279,0.0056
